Biomass,Index
4.908925520344533,65
6.988569627384101,66
0.4357975365719777,67
12.68272340635238,87
43.76689681732292,88
8.989423571848587,89
0.1317670706468185,90
5.495714707061268,112
21.407397702608648,113
17.57797846454892,114
1.3113826406510165,115
0.026667988921944,116
8.041048169743686,137
21.6948432086239,138
43.52316576324005,139
8.890941311673421,140
1.24635548224478,141
10.722167176939736,161
9.330370949551751,162
55.76493718948628,163
196.943734663754,164
74.22165207090097,165
31.29740160762672,166
0.1651156231037288,167
97.08583985179352,184
90.49607345238714,185
85.12885914035215,186
51.36840027153006,187
11.164246733595686,188
70.08684315241726,189
205.1026538366568,190
169.3864526298688,191
56.77782454231868,192
21.095533607482253,193
2.557551872463203,194
1.4499027583784383,195
151.30490489122343,223
148.7376317505021,224
194.980753857818,225
114.88006140406728,226
101.62194547226208,227
166.91454736688416,228
276.9246372449596,229
258.76005715281536,230
83.95984373317673,231
20.921576016457028,232
19.76734705611721,233
14.035931968127016,234
142.69693267636185,264
170.03914822169392,265
223.16072714830304,266
158.7376865144739,267
224.03735743967644,268
227.80164409000105,269
188.5091014747222,270
234.08520721823783,271
191.64208547767188,272
43.11274867448121,273
66.98651008996282,274
8.739728009522354,275
188.25348600862804,304
201.48830900938617,305
215.53806686789667,306
216.30804016952675,307
201.95753315727143,308
367.2387599817643,309
247.0607679530792,310
177.93901965408116,311
84.34545293392486,312
109.26297116306182,313
95.82226350763844,314
14.749519903707894,315
1.909457978072007,316
179.6396191777215,346
230.30527084955395,347
259.299933813445,348
232.85259097615733,349
191.7194731204773,350
322.5736180989147,351
211.981239822434,352
80.24058413905006,353
45.94833238629792,354
177.12056374729625,355
188.70358914874151,356
40.45776729367835,357
28.91760097841732,358
0.1754109047592217,359
233.30704934967216,389
207.9198525239046,390
177.638252369477,391
164.2259658562911,392
186.4062213834924,393
216.3779806034844,394
157.98436889875555,395
246.743881757834,396
90.9768009702286,397
73.61575392626175,398
142.98266574686556,399
94.1487102758824,400
139.48692015700772,401
37.92209388686176,402
9.11688297013105,403
217.4892883723234,440
211.0524882985073,441
237.8074563387833,442
186.639393355676,443
96.53538358946926,444
143.93742318039685,445
233.8737474035763,446
272.1566703435831,447
140.6771057015061,448
161.84525152254915,449
138.4105262442521,450
121.4425065081721,451
163.40018520778406,452
106.34880662744536,453
78.54089546623567,454
265.3254404833462,495
241.5168778349385,496
225.9104220436231,497
118.22591434819395,498
182.30881161488784,499
244.5283560770356,500
303.6298832824073,501
280.8694505093318,502
196.97886653744007,503
159.89590977646648,504
97.97651779773472,505
93.34742672875124,506
119.12703838097632,507
135.7402239272284,508
93.05079890633236,509
21.311583760356427,510
223.1243980743805,556
181.4979654965788,557
185.099640109236,558
240.111945796926,559
278.14020059163084,560
251.07765572777865,561
286.4246611263463,562
169.3756954268723,563
187.093213206506,564
209.64223125723504,565
129.87514489657826,566
148.70509389187572,567
191.795367850512,568
84.84903707913134,569
31.013010969565364,570
168.8873834894546,617
213.6896642231836,618
162.58092306968155,619
207.8255417678204,620
170.7952499329043,621
211.40054884157388,622
149.9487636367713,623
190.8467439405396,624
194.3204869396388,625
56.00879940987378,626
94.95526970804644,627
111.00833324670946,628
94.36157911872552,629
157.41477360244022,685
177.59442557639608,686
156.50009126092073,687
160.97791161566937,688
126.98534750489384,689
203.285634150354,690
224.16621072680547,691
196.18928137964025,755
106.51914561461238,756
