Index,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2016,2017,2018,Vals
29,24.50698,71.25181,0.14898251,0.44225198,0.175578073,0.224422753,0.201871529,0.198033258,0.316811502,0.241195455,0.3025858409936856,0
40,24.50698,72.12769,44.4982605,56.36858368,46.19569778,50.21803665,59.50357437,59.08083725,87.15248108,86.62328339,76.1202236458355,0
61,24.42638,72.44619,11.39565468,11.05320549,11.50044918,10.9434576,18.05771255,17.90370178,20.19329834,15.02862358,17.17218585403713,0
69,24.34578,71.33144,4.911758423,7.292259693,7.420654774,5.711229801,6.373944283,7.979341507,10.07473373,5.716173172,8.13446700385696,0
91,24.26518,71.25181,0.713384688,0.601225495,0.591967762,0.938104451,0.973053575,1.584247351,2.279833794,0.626044393,0.9306613148083628,0
92,24.26518,71.33144,33.02660751,27.67250824,27.18237877,34.75081635,45.98116302,49.39732361,67.28372192,46.32011795,49.5084137243028,0
108,24.26518,72.60544,5.906249046,5.7738657,5.144875526,4.708918571,7.643323898,6.754850864,7.838918209,7.137349129,7.365297786974458,0
117,24.18458,71.25181,0.179722741,0.30527845,0.231304839,0.187772781,0.360107899,0.361097246,0.503151417,0.349466383,0.3817409558560323,0
147,24.10398,71.64994,150.9449768,171.4714203,153.5043793,117.9235458,191.2960815,155.5553894,180.4755249,156.9267731,176.99971336790867,0
188,24.02338,72.84432,11.6736002,9.498497009,6.039274693,8.326727867,13.97561169,9.458246231,10.80574608,11.97006607,11.164246733595686,0
199,23.94278,70.45556,10.70241737,6.431518555,6.786144733,12.33134365,7.116882324,1.106029749,11.60707664,10.13978958,8.86962094978368,0
222,23.94278,72.44619,117.5434189,143.6200104,129.7485199,157.4234924,154.8072968,139.6318817,156.1529999,135.4089661,152.06619623148904,0
240,23.86218,70.53519,26.70368004,20.33254814,22.80064964,33.52033997,22.37004852,17.40854263,31.60211563,28.39439774,27.492625896689884,0
287,23.78158,71.17219,23.84613609,20.5629158,27.41863441,35.91527939,35.68302536,39.68887711,37.01377106,29.66671944,34.039955104044125,0
291,23.78158,71.49069,40.85916901,47.59780884,31.13302803,72.84785461,55.00027847,37.82585907,68.40579224,18.29733849,47.13916110097645,0
292,23.78158,71.57031,113.7481384,123.8033524,95.18080139,111.5645981,124.4107513,120.8057098,130.2111053,53.58628082,132.1314396934721,0
303,23.78158,72.44619,201.2510834,170.8431549,159.1136322,173.6608582,218.7025757,175.4057312,223.8477631,203.3063965,207.7114045467356,0
334,23.70098,71.57031,94.39044952,105.7559052,102.3781433,118.2681046,127.3980026,119.2240143,135.8787689,78.95967865,125.8122736727839,0
345,23.70098,72.44619,206.1130524,162.2002716,153.4178162,188.0305176,234.4668579,185.9389496,222.8173981,237.6533356,219.1827453393166,0
348,23.70098,72.68507,237.0367737,252.0353088,238.6967316,238.624649,262.3990479,238.8543549,270.5976257,264.5175781,259.4534548230284,0
349,23.70098,72.76469,225.7448425,228.7707062,200.9030762,211.6141663,260.3321228,197.6434479,258.7470398,245.2266235,246.0607549663501,0
359,23.70098,73.56094,0.190745652,0.163265914,0.1310056,0.1310056,0.1310056,0.163265914,0.195222959,0.190745652,0.1765883929313138,0
406,23.53978,69.10194,0.059334397,0.02295517,0.036886677,0.067847319,0.018755477,0.016015425,0.082813881,0.060085751,0.055509076210923,0
455,23.45918,68.62419,0.082912944,0.099412292,0.061356451,0.079867102,0.070438631,0.084984899,0.11559549,0.097443186,0.0990587707337032,0
456,23.45918,68.70381,0.290028811,0.347743422,0.214624375,0.27937448,0.246393785,0.297276497,0.404352069,0.340855479,0.346321914280263,0
458,23.45918,69.02231,0.939185262,1.526713252,7.573946476,3.198684216,1.923961163,2.155899286,16.52791786,1.017760992,4.092505132452071,0
459,23.45918,69.10194,2.978363276,2.686764002,11.13431454,5.212978363,2.277088165,2.597548485,14.46611691,3.406570435,6.699794107262612,0
476,23.45918,70.61481,0.713945508,0.867995143,1.437112689,1.966123819,1.429298639,1.787498713,1.977697849,1.772038102,1.7464468245366052,0
491,23.45918,72.20732,212.4378815,178.9524384,196.8053131,180.5058746,200.2940216,187.5618896,212.9692841,189.3218994,212.5742599754625,0
494,23.45918,72.44619,251.0865021,220.5903931,207.227951,222.1907349,293.4224243,225.4004059,273.2033997,255.8974304,264.59420125075843,0
510,23.45918,73.72019,19.17598343,21.9420948,16.335186,16.335186,16.335186,21.9420948,23.67832947,19.17598343,21.80869817731752,0
511,23.45918,73.79982,11.30157185,12.07938766,11.2912569,11.2912569,11.2912569,12.07938766,17.72079849,11.30157185,14.0289639764529,0
512,23.45918,73.87944,1.672579527,1.712888241,1.653932214,1.653932214,1.653932214,1.712888241,2.30056119,1.672579527,1.927632279690655,0
513,23.37858,68.62419,0.069745965,0.083625138,0.05161275,0.067183815,0.059252635,0.07148888,0.097238362,0.081968732,0.0833798780390125,0
514,23.37858,68.70381,1.124061227,1.279580116,1.124052167,1.312143564,1.150786519,1.499075055,1.512577891,1.538093805,1.4844941817509183,0
518,23.37858,69.02231,1.344734311,1.81103754,11.08847618,4.168405056,2.863226414,3.121819019,24.28944969,1.517660022,6.080599313045801,0
556,23.37858,72.60544,153.8659515,184.7782898,238.6293793,178.6911926,211.2002716,178.2030487,282.9382019,172.6909027,223.1243980743805,0
557,23.37858,72.68507,129.5398407,155.7094727,179.8244324,142.7456665,178.5997009,157.3164673,212.8296509,139.7122803,185.2785869565334,0
570,23.37858,73.72019,21.53723717,29.46928215,25.90143394,25.90143394,25.90143394,29.46928215,35.89492035,21.53723717,31.0459543978476,0
571,23.37858,73.79982,12.91051102,13.78936958,12.96119022,12.96119022,12.96119022,13.78936958,21.17109871,12.91051102,16.388730310770647,0
572,23.37858,73.87944,4.732599258,4.794891357,4.895975113,4.895975113,4.895975113,4.794891357,5.897725582,4.732599258,5.288920141895876,0
573,23.37858,73.95907,1.375322223,1.40408659,1.406529307,1.406529307,1.406529307,1.40408659,1.61714983,1.375322223,1.4888576620077016,0
583,23.29797,69.42044,11.84491444,5.608674526,5.138674736,7.628138065,15.08645439,7.51494503,13.2245779,12.52259636,11.407548847701973,0
615,23.29797,72.52582,188.494812,205.5703583,249.1163177,186.4634247,204.7763062,196.0592194,303.5803528,165.9096222,242.1055155676923,0
616,23.29797,72.60544,179.6687317,201.9162292,245.4692535,200.3907471,237.5764923,207.0778351,291.6128845,203.8234558,242.0783694077992,0
618,23.29797,72.76469,186.1642914,167.7340546,199.1536713,198.5921631,260.2720642,223.6329956,244.7979584,196.979599,233.1393079839661,0
619,23.29797,72.84432,142.3961029,136.9242401,142.2024384,147.3135834,182.5641479,161.8966522,178.880722,167.4988708,171.18537208703924,0
628,23.29797,73.56094,101.8951263,101.4790192,104.8506622,104.8506622,104.8506622,101.4790192,110.8203583,101.8951263,114.69168453031044,0
630,23.29797,73.72019,45.08875656,47.65665817,54.60830307,54.60830307,54.60830307,47.65665817,68.38506317,45.08875656,59.34220317799007,0
631,23.29797,73.79982,30.63242912,35.13057327,30.31943512,30.31943512,30.31943512,35.13057327,42.60625458,30.63242912,36.62721896010235,0
632,23.29797,73.87944,10.11940289,11.77551937,10.08976555,10.08976555,10.08976555,11.77551937,12.53659821,10.11940289,11.63140443697477,0
657,23.21737,70.37594,0.228002265,0.30914852,0.295857489,0.288431078,0.287454277,0.275538653,0.345771521,0.260598481,0.3147990580994665,0
684,23.21737,72.76469,154.7121429,141.6751709,175.145874,162.4611816,208.5531921,160.0571747,213.7927094,147.4012451,193.71081275886635,0
693,23.21737,73.48132,52.83135986,68.23568726,56.54228592,56.54228592,56.54228592,68.23568726,72.37503052,52.83135986,67.22837533394599,0
694,23.21737,73.56094,43.31933212,47.50611496,41.80653381,41.80653381,41.80653381,47.50611496,62.60673141,43.31933212,51.54474990726589,0
697,23.21737,73.79982,92.98397827,101.7561493,97.247612,97.247612,97.247612,101.7561493,121.0069046,92.98397827,108.13968463231056,0
707,23.13677,68.94269,38.52891159,28.09268951,29.09708977,42.18871689,38.4817276,34.92141724,40.16951752,41.4849205,39.02678806648034,0
755,23.13677,72.92394,158.816391,167.8090973,207.6330109,149.6159515,177.1283112,163.9427643,240.7830505,110.9747467,196.68028545979143,0
757,23.13677,73.08319,132.4119873,107.0260162,85.97081757,95.37857819,185.2963257,173.79422,193.5501099,162.0280151,168.77341883465752,0
758,23.13677,73.16282,118.5736694,130.5963745,116.8609467,119.3242416,141.9383087,128.8596191,165.8248291,135.450531,144.40310904261517,0
762,23.13677,73.48132,57.48247147,73.29980469,64.79203033,64.79203033,64.79203033,73.29980469,88.28160858,57.48247147,76.83363015058444,0
763,23.13677,73.56094,74.56938934,81.03572083,71.05930328,71.05930328,71.05930328,81.03572083,102.3443604,74.56938934,86.59731664893673,0
764,23.13677,73.64057,96.87024689,82.58670807,76.63056946,76.66924286,76.60825348,82.63261414,96.08460236,98.03503418,89.13570205510479,0
765,23.13677,73.72019,65.44851685,58.46577072,65.68096161,65.73738861,65.65836334,58.57963181,83.29517365,66.31797028,74.07416238164636,0
766,23.13677,73.79982,54.97740936,48.0012207,49.4163475,51.6779213,50.11022186,49.56171799,67.05347443,56.02925491,59.875647558405774,0
767,23.13677,73.87944,36.1623497,52.68085098,48.13647079,48.39372635,47.89569473,53.12477875,62.64010239,36.54721069,55.8789508260165,0
822,23.05617,73.00357,132.8247681,150.672287,102.1758423,138.5110474,162.6617889,135.6717529,158.7574768,154.4295502,155.07159002945335,0
823,23.05617,73.08319,147.236496,122.7914734,97.71755219,108.4726639,166.0460052,161.8969879,221.3825989,166.5028229,182.67320959176143,0
824,23.05617,73.16282,189.2541351,186.755661,165.3326263,176.1061859,215.1747437,169.4303436,240.8074646,247.9681854,229.46224021252527,0
825,23.05617,73.24244,122.7192612,156.4124146,132.182663,147.9087372,175.745224,161.0019073,162.9295959,146.1323395,162.46184633116434,0
827,23.05617,73.40169,68.45969391,80.84073639,71.45053864,71.71555328,71.59185028,79.57229614,90.2269516,69.24954987,81.52119232400376,0
828,23.05617,73.48132,89.78491211,96.83761597,86.07249451,87.23177338,86.45883942,95.69332886,106.1035614,91.8833313,97.35991462363816,0
829,23.05617,73.56094,82.73552704,96.5351944,84.40267181,85.03995514,84.66156006,97.4080658,104.7035217,84.35275269,96.6438647470142,0
830,23.05617,73.64057,47.98102951,56.94025803,53.09912491,58.21528625,55.50946045,62.48550797,67.22891998,61.14595413,62.93424673224721,0
847,22.97557,69.42044,20.55200958,16.69890976,17.95040512,22.80063057,23.85564232,24.53292084,29.04266739,20.36608505,25.307195578495246,0
886,22.97557,72.92394,155.483551,144.8144379,133.4093475,121.6252975,173.9109802,162.4427338,234.8024902,190.8121643,200.58636428651909,0
887,22.97557,73.00357,115.8643341,127.2193146,101.3134308,118.6093063,144.1558838,115.0979462,181.0078888,154.5450745,156.22497398514955,0
888,22.97557,73.08319,153.8599548,130.5449219,85.486763,112.8002701,184.1240234,160.9369049,215.2875061,151.6413116,176.16624021111042,0
889,22.97557,73.16282,189.1444092,180.4279327,131.7279816,165.4864655,235.2164154,174.299881,258.121582,235.1772461,224.77866661019573,0
891,22.97557,73.32207,81.93830109,117.3810577,114.4105759,124.6616898,118.8295822,113.3747864,144.3021851,88.03039551,129.750537573171,0
892,22.97557,73.40169,99.95134735,92.44525146,104.7993546,120.9173584,124.4265747,102.1005478,129.7572021,113.1275253,121.00365361509428,0
898,22.97557,73.87944,52.8231926,40.7480011,55.54563904,53.20276642,75.15940094,68.3159256,78.34973145,71.39072418,73.42713551293188,0
899,22.97557,73.95907,8.831652641,6.33366394,7.796382904,8.03563118,6.756644249,7.272856712,9.821762085,9.055433273,9.10697385414764,0
936,22.89497,71.88882,140.5984955,171.9347229,72.82122803,138.6495361,153.0677338,160.6129303,169.1226196,168.839386,167.68639310055096,0
946,22.89497,72.68507,213.8125763,171.3997498,140.4766388,157.5656128,180.4404755,183.4783325,216.003006,201.7008362,184.876370611102,0
947,22.89497,72.76469,186.0800476,165.352829,137.1730194,142.6550446,174.293808,170.358017,207.7986908,193.4861603,189.38259037523525,0
948,22.89497,72.84432,134.4966583,133.4966888,116.7590256,126.7074814,164.239502,136.7461853,212.7191162,178.9972229,181.3635390781307,0
949,22.89497,72.92394,236.4621887,189.2545013,144.5110779,169.5681915,258.9548645,202.7739716,318.4131775,262.7774658,259.8478927234237,0
950,22.89497,73.00357,131.5446167,150.2809448,113.7721481,137.0608215,153.3256073,130.7330475,198.7426453,166.2598724,166.81470527834438,0
951,22.89497,73.08319,138.442215,199.9642029,169.7106018,175.5757751,189.8735352,150.3082886,221.1697235,170.2603912,199.200246857465,0
952,22.89497,73.16282,146.2969818,191.5610504,163.885849,175.7619781,189.5224457,144.2464142,222.3478088,172.0830536,197.12983783069825,0
953,22.89497,73.24244,138.0945435,166.4472656,141.186615,153.8162994,200.641571,149.8710327,228.301651,176.6751251,190.69645356110453,0
954,22.89497,73.32207,143.0611267,137.6143799,117.9839554,132.428421,160.2071228,146.4170685,213.5023041,157.8928375,171.37340244335076,0
955,22.89497,73.40169,79.98213196,83.31004333,67.34417725,82.0597229,104.0646744,96.23381042,118.2896652,121.3359299,114.70284515084316,0
975,22.81437,69.57969,10.60157967,14.15322113,11.23135376,21.06463242,16.265728,21.09023285,19.61002922,9.714092255,18.95722327369372,0
978,22.81437,69.81856,0.011210985,0.013441926,0.028438233,0.011106241,0.009524284,0.013244694,0.029199077,0.013175676,0.0225446476259826,0
993,22.81437,71.49069,152.0557404,187.2911682,72.17340851,135.5428772,167.6324921,174.7606659,199.349411,190.5577393,184.5853354860612,0
997,22.81437,71.80919,118.4791565,132.0451202,53.66983795,112.7452545,128.5656433,127.7144852,132.2460632,128.8653717,125.6340306444866,0
1007,22.81437,72.60544,160.3393402,135.0405731,114.5682144,125.4000854,173.2578583,138.6974487,183.3492737,148.8486938,165.2355385231583,0
1008,22.81437,72.68507,143.9669189,131.1765137,110.6612549,112.700798,156.320694,120.8518143,185.4931641,155.3435364,158.4141951364923,0
1009,22.81437,72.76469,168.8411255,125.9270325,127.1355743,124.4028778,186.1207428,166.5697327,210.9425049,162.0557098,180.49469785778007,0
1010,22.81437,72.84432,183.2391052,169.7487335,150.6044617,156.8572388,238.1930389,193.7176514,263.2693176,235.7663879,237.47463753154503,0
1011,22.81437,72.92394,178.4073334,197.7746582,149.4762573,184.33461,226.7178497,168.3628082,266.3788452,214.2460785,224.46728759767183,0
1012,22.81437,73.00357,146.0847931,161.2610626,111.4194565,143.4864197,170.8141022,127.1806946,201.5922699,189.8909912,178.00861473179518,0
1013,22.81437,73.08319,193.0107574,145.8700714,133.9252472,143.5542297,238.2993164,220.2145386,237.3628387,214.1181793,226.51183719658783,0
1014,22.81437,73.16282,171.4913177,162.8533936,180.8948364,161.2302704,196.8990784,176.6966248,235.4077301,158.848877,203.16597725415104,0
1015,22.81437,73.24244,156.2912598,187.8234863,155.9398651,158.1903687,176.9521027,136.3361359,219.0287781,209.3702545,196.1558737538699,0
1016,22.81437,73.32207,130.8339081,160.3022766,139.5479279,152.2883606,164.2115021,141.5278015,225.2637787,202.6756134,197.2441455690303,0
1023,22.81437,73.87944,36.77401733,23.48123169,32.68365097,30.62154388,37.53889465,36.36774063,34.97075653,34.53425217,37.46516712410804,0
