Index,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2016,2017,2018,Vals
0,24.66818,71.33144,8.475744247,8.86856842,9.202180862,6.023069859,10.78837395,6.647324562,7.387925148,5.180296421,6.262531209553435,6
7,24.66818,71.88882,48.34523392,91.21583557,91.90634155,41.12175369,57.26641083,60.26341248,72.29115295,29.41161346,42.52400797564359,6
8,24.66818,71.96844,58.78428268,50.20689774,60.70732117,37.59899902,59.46213913,38.78831482,31.31279564,37.49700928,40.00804731531391,6
9,24.66818,72.04807,67.90737915,68.37599945,87.02667999,54.60224152,78.11812592,44.79618835,36.00815201,52.54997635,53.93152235014321,6
10,24.66818,72.12769,8.916523933,16.67988586,21.61880493,13.55043888,15.40336704,7.133224964,7.731999874,9.861409187,10.1990001582627,6
15,24.58758,71.33144,45.17411041,67.93484497,58.22631454,35.26721954,55.58983994,34.76856995,29.41272354,26.50906563,32.05735376672855,6
22,24.58758,71.88882,99.1736145,159.4914398,106.4774933,91.88571167,130.869339,106.9669266,116.8996277,101.8238525,108.7897391251064,6
23,24.58758,71.96844,150.2328644,181.6248169,151.1966553,113.5439758,160.2637329,107.7620239,109.9925232,111.148941,119.91029989438604,6
24,24.58758,72.04807,144.6105194,175.1475525,146.9933624,116.3193054,180.7384644,121.2385254,87.78025055,111.8161621,119.87020670196792,6
26,24.58758,72.20732,24.97690392,55.40797806,63.78116608,37.2959404,47.14842224,37.48082733,42.75498581,44.64852142,43.61204977245831,6
30,24.50698,71.33144,33.44884491,35.71368027,32.15140533,26.31920052,40.71194458,27.70918274,25.035532,29.89868927,30.74004780609372,6
31,24.50698,71.41106,65.62121582,122.1017151,129.0817566,68.21733856,98.81609344,84.30096436,87.5641098,100.9010086,97.96884082144862,6
32,24.50698,71.49069,121.0332336,177.7386169,170.0796509,111.8134308,164.9772644,118.1409836,150.813324,134.183136,139.1321004059503,6
34,24.50698,71.64994,121.5485306,161.664505,166.5551605,101.8936081,143.0532074,87.45465851,117.1153717,134.410141,130.5494606656551,6
35,24.50698,71.72956,102.3113708,169.7710419,160.1176453,89.57714844,140.0508575,92.18669891,98.37117767,112.1739349,113.4196665724184,6
42,24.50698,72.28694,75.98052216,136.4320679,104.890274,69.30420685,101.3290024,79.23304749,89.4603653,109.4937744,103.70009311830998,6
47,24.42638,71.33144,9.411384583,24.29284286,35.66773224,13.53325558,14.8900156,16.25581741,21.13311577,14.09113312,15.329839873664568,6
48,24.42638,71.41106,53.4867363,117.7023849,151.5562897,73.11811829,72.21617126,66.25110626,79.66234589,98.30970764,90.96986543067158,6
51,24.42638,71.64994,107.6716156,157.2505341,151.2206421,92.19435883,147.3453827,95.59819031,78.92514801,103.8457642,106.34630067101324,6
52,24.42638,71.72956,83.22322083,150.5225983,162.6320648,84.5362854,122.6788254,105.8757401,104.6953964,107.3855286,109.19722760248396,6
54,24.42638,71.88882,127.3641663,202.5718842,162.4058533,114.9309692,180.7794189,119.6972504,116.9567261,157.299408,152.01748505621617,6
58,24.42638,72.20732,90.24049377,130.0566101,105.9844208,80.94841003,124.8952484,101.5774689,105.8578873,103.5982666,105.9811537219136,6
73,24.34578,71.64994,92.72156525,196.2896881,183.1881714,98.64025116,134.0859222,106.6130524,82.23817444,113.957489,114.69944839840382,6
74,24.34578,71.72956,116.8768768,174.1825714,191.7445831,120.1810532,199.7206573,138.8439636,146.8779297,156.1511841,157.00418175892628,6
75,24.34578,71.80919,161.7230072,215.266922,206.8876801,139.7307739,249.2931213,165.1207123,175.9665833,194.9480438,193.39447350987905,6
76,24.34578,71.88882,156.6812439,179.7835236,166.6686401,116.3335648,186.4660797,120.2639618,105.6868515,130.4949036,135.29700117845692,6
83,24.34578,72.44619,26.89700508,40.1569519,37.93455887,21.82702637,39.90808868,26.26771736,24.62424278,26.85098839,27.988962661701105,6
96,24.26518,71.64994,91.01392365,194.977951,178.6150513,101.538414,134.967926,108.897171,134.9612427,145.2462921,139.80412804975768,6
